account_id,post_id,label,image url,message,text,ocr text,downloaded image location
1.84097E+14,1.03867E+15,mostly true,https://external.xx.fbcdn.net/safe_image.php?d=AQCxT5lkqdSAGxTb&url=http%3A%2F%2Fa.abcnews.com%2Fimages%2FUS%2FAP_Charlotte_Police_Fatal_Shooting2_ml_160922_4x3t_144.jpg&_nc_hash=AQC4cu43u6BKaQCG,"PHOTOS: Protests in Charlotte, NC after fatal police shooting of Keith Lamont Scott: http://abcn.ws/2dfy8DJ",,,./images/184096565021911_1038670552897837.jpg
1.84097E+14,1.03876E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/14364737_1038758292889063_2351027085110168736_n.jpg?oh=3d64f9900f1fb605298cb853d9b005c3&oe=5AAA68D2,JUST IN: Ted Cruz announces in Facebook post he will vote for former rival Donald J. Trump in November:,"Ted Cruz
This election is unlike any other in our nation's history. Like many other voters, I have struggled to determine the right course of action in this general election.
In Cleveland, I urged. voters, ""please, don't stay home in November. Stand, and speak, and vote your consicene, vote for candidates up and down the ticket whom your trust to defend our freedom and to be faithful to the consititution.""
After many months of careful consideration, of prayer and searching my own conscience, I hae decided that on Election Day, I will vote for the Republican nominee, Donald Trump.
I've made this decision for two reasons. First, last year, I promised to support the Republican nominee. And I intend to keep my word.
Second, even though I have had areas of significant disagreement with our nominee, by any measure Hillary Clinton is wholly unaccptable - that's why I have always been #NeverHillary.","|Tms eIectIun Is unhke any umer In uur nauun‘s msmry LIKE many umer vmers I have sIruggIea m determme me ngm cuurse macnun m Ims generaI eIecImn In cIeveIand I urged vmers pIease dun‘t stay Name In Nuvember slam and speak and vme yuur cunsmence \Iute mrcanmdales up and down me Imxet vmum yuu Irusx m aerend am Ireeaum and m be IaImmI m we Cunsmutmn “ Aner many munms m carelul cunsIderatIun uvprayer and searchmg my awn mnscIence I have decIded that an EIectIun Day ||qu vute mrme Repubhcan numInee. DanaId Trump Ive made (ms decIsIun [urtwu reasuns Fm, Iastyear I prumIsed Ia suppanme Repubhcan numInee And I menu In Keep my ward semna even muugh I nave had areas at sIgnmcant dIsagreememem uur numInee by any measure HIHary cImwn Is wnuIIy unaccemame imax‘s why I have aIways been #NeverHIHary|",./images/184096565021911_1038758292889063.jpg
1.84097E+14,1.04149E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14470487_1041489252615967_2767649267078640383_n.jpg?oh=6c0800d7bb562b5e933cd2b56ee58d00&oe=5A6B991C,There have already been fireworks between Hillary Clinton and Donald J. Trump as the two candidates face off in the first presidential debate. Their best lines so far: http://abcn.ws/2d5dsiK #Debates,"""DONALD, I know your live in your own reality
abc NEWS","m DONALD, I KNOW l‘YOU LIVE IN YOUR i ?OWN REALITY.",./images/184096565021911_1041489252615967.jpg
1.84097E+14,1.0415E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14457381_1041496015948624_2321277617948603766_n.jpg?oh=20ff0627394e329cea920615f1fdc1bc&oe=5AAF973D,Debate fact-check: Donald J. Trump claims he did not say global warming is a Chinese hoax. Grade: False. http://abcn.ws/2d5eStA #Debates,"abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
WE DID NOT SAY GLOBAL WARMING IS A CHINESE HOAX
FALSE",@NEWSI PiiEﬁiDEN'ﬂ'mLDEATE 'VUMH' UDI‘J‘S'WVOTE * FACT * CHECK* TRUMP: HE DID NOT SAY GLOBAL WARMING IS A CHINESE HOAX,./images/184096565021911_1041496015948624.jpg
1.84097E+14,1.0415E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14502795_1041504402614452_5280980712712235700_n.jpg?oh=e65ce54a2dcfff9c4becdf40ca477ef9&oe=5AAA12C5,"Debate fact-check: Donald J. Trump claims Hillary Clinton has been fighting ISIS her ""entire adult life."" Grade: False. http://abcn.ws/2czecPC #Debates","abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
CLINTON HAS BEEN FIGHTING ISIS HER ENTIERE ADULT LIFE
FALSE",@NEWSI PiiEﬁiDEN'ﬂ'mLDEATE 'VUMH' UDI‘J‘S'WVOTE * FACT * CHECK* TRUMP: CLINTON HAS BEEN FIGHTING ISIS HER ENTIRE ADULT LIFE,./images/184096565021911_1041504402614452.jpg
1.84097E+14,1.04151E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14462887_1041512352613657_7030354207262486663_n.jpg?oh=d7adb0097fbf73e4d5ef6e6a50ab70b1&oe=5A9FCFFC,Debate fact-check: Donald J. Trump started his business with $14 million borrowed from his father. Grade: Yes and no. http://abcn.ws/2cReC05 #Debates,"abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
CLINTON:
TRUMP STARTED HIS BUSINESS WITH $14 MILLION BORROWED FROM HIS FATHER, NOT $1 MILLION
YES & NO","|®NEWSI PRESIDENT WALDEBATE ""VUUR UUIbs'YOLRVOTE * FACT * CHECK* CLINTON: TRUMP STARTED HIS BUSINESS WITH $14 MILLION BORROWED FROM HIS FATHER, NOT $1MILL||ON T-\ :|",./images/184096565021911_1041512352613657.jpg
1.84097E+14,1.04152E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14494769_1041523679279191_8962146519405537994_n.jpg?oh=e6212613533149472d65a060bc15bd9d&oe=5A9EA79D,"Debate fact-check: Donald J. Trump said Hillary Clinton called [the Trans Pacific Partnership] the ""gold standard"" of trade deals. Grade: Yes and no. http://abcn.ws/2d24wyB #Debates","abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
""YOU CALLED [THE TRANS PACIFIC PARTINERSHIP] THE GOLD STANDARD, YOU CALLED IT THE GOLD STANDARD OF TRADE DEALS. YOU SAID IT'S THE FINEST DEAL YOU'VE EVER SEEN.""
YES & NO","|@NEWSI PRESIDENT M—uLDEBATE ""VUUH U013»: 'YOLRVOTE *FACT*CH CK* TRUMP: ""YOU CALLED [THE TRANS PACIFIC PARTNERSH||P1THE GOLD STANDARD, YOU CALLED IT THE GOLD STANDARD OF TRADE DEALS. YOU SAID IT'S THE FINEST DEAL YOU’VE EVER SEEN.” _ .ﬁ I :|",./images/184096565021911_1041523679279191.jpg
1.84097E+14,1.04153E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14502768_1041533232611569_7873939554656631185_n.jpg?oh=4869a1b0b161b60eeef985d9141179e7&oe=5AA6552C,Debate fact-check: Donald J. Trump says he has not suggested that he would negotiate down the national debt.. Grade: Yes and no. http://abcn.ws/2dmMt5I #Debates,"abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
SAYS HE HAS NOT SUGGESTED THAT HE WOULD NEGOTIATE DOWN THE NATIONAL DEBT.
YES & NO",®NEWSI PRESSUEN'I'MLDEBATE YUUH U013»: 'YOLRVOTE * FACT * CHECK* TRUMP: SAYS HE HAS NOT SUGGESTED THAT HE WOULD NEGOTIATE DOWN THE NATIONAL DEBT.,./images/184096565021911_1041533232611569.jpg
1.84097E+14,1.04156E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14479615_1041555632609329_5234743427907618742_n.jpg?oh=dfe1ea7cdc421f8d7557245c3228f04a&oe=5AA0A1C6,"Debate fact-check: ""Hillary Clinton also fought it."" Meaning Pres. Barack Obama's natural born citizenship. Grade: False. http://abcn.ws/2cRmfUg #Debates","abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
""HILLARY CLINTON ALSO FOUGHT IT"" MEANING OBAMA'S NATURAL BORN CITIZENSHIP.
FALSE",®NEWSI PRESSUEN'I'MLDEBATE YUUH U013»: 'YOLRVOTE * FACT * CHECK* TRUMP: “HILLARY CLINTON ALSO FOUGHT IT” MEANING OBAMA’S NATURAL BORN CITIZENSHIP.,./images/184096565021911_1041555632609329.jpg
1.84097E+14,1.04156E+15,mostly true,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14516577_1041562635941962_6847845620266491504_n.jpg?oh=6b4a9ae8e9e0fd4c0666c0488c52b94e&oe=5A649249,"Debate fact-check: Donald J. Trump said ""I did not support the war in Iraq. I was against the war in Iraq."" Grade: False. http://abcn.ws/2d5bxwm #Debates","abc NEWS|PRESDENTIAL DEBATE YOUR VOICE YOUR VOTE
FACT CHECK
TRUMP:
""I DID NOT SUPPORT THE WAR IN IRAQ. I WAS AGAINST THE WAR IN IRAQ.""
FALSE",|@NEWSI PiiEﬁiDEN'ﬂ'mLDEATE 'VUMH' UDI‘J‘S'WVOTE * FACT * CHECK* TRUMP: “I DID NOT SUPPORT THE WAR IN IRAQ. || WAS AGAINST THE WAR IN IRAQ.”|,./images/184096565021911_1041562635941962.jpg
